"","district","weekstartdate","anycases","totalcases","est"
"19894","hanson",2011-03-06,0,0,2.78066812266923e-08
"19895","hutchinson",2011-07-17,0,0,0.0311596574046968
"19896","hutchinson",2011-07-24,0,0,0.0384804316360661
"19897","hutchinson",2011-07-31,1,1,0.0596095399328241
"19898","davison",2011-01-09,0,0,8.79380623659417e-08
"19899","sanborn",2011-12-11,0,0,1.12719916577719e-06
"19900","davison",2011-01-23,0,0,2.99750043975172e-08
"19901","davison",2011-01-30,0,0,3.2074592753122e-08
"19902","sanborn",2011-02-27,0,0,3.00701316495523e-08
"19903","davison",2011-02-13,0,0,2.58852041140976e-08
"19904","davison",2011-02-20,0,0,5.89254540123786e-08
"19905","hutchinson",2011-09-18,0,0,0.0196326534233739
"19906","hanson",2011-02-20,0,0,1.35835089213515e-08
"19907","hanson",2011-05-29,0,0,0.000349047215120125
"19908","hanson",2011-06-05,0,0,0.000653906393461485
"19909","sanborn",2011-01-16,0,0,1.77209347322992e-08
"19910","hutchinson",2011-10-23,0,0,0.000569170517632468
"19911","sanborn",2011-01-30,0,0,1.09333335752877e-08
"19912","hanson",2011-06-19,0,0,0.00188149313188261
"19913","sanborn",2011-02-13,0,0,9.52221091198752e-09
"19914","sanborn",2011-02-20,0,0,2.1598492740093e-08
"19915","spink",2011-06-26,0,0,0.00820859461505913
"19916","sanborn",2011-03-06,0,0,4.08403839088909e-08
"19917","hanson",2011-02-06,0,0,6.19197685421451e-09
"19918","hutchinson",2011-12-25,0,0,4.70946769897876e-07
"19919","hanson",2011-05-22,0,0,0.000212590527461624
"19920","faulk",2011-11-13,0,0,5.32063052250772e-05
"19921","spink",2011-07-03,0,0,0.014526904082443
"19922","spink",2011-06-12,0,0,0.00268360623039985
"19923","sanborn",2011-01-23,0,0,9.95412789548242e-09
"19924","hutchinson",2011-08-07,0,0,0.0777069661340203
"19925","hutchinson",2011-09-11,0,0,0.0381021931472164
"19926","sanborn",2011-03-13,0,0,8.49022126871858e-08
"19927","spink",2011-06-19,0,0,0.0047594190548468
"19928","hanson",2011-02-13,0,0,5.77901703298225e-09
"19929","hanson",2011-06-26,0,0,0.00317739029285691
"19930","faulk",2011-12-11,0,0,1.26858087153159e-06
"19931","hanson",2011-05-15,0,0,0.000121335841003879
"19932","hanson",2011-06-12,0,0,0.0010501250148832
"19933","spink",2011-07-17,0,0,0.0470362510222086
